Year,Pollutant,Location,Value
19,Flood prediction model using LSTM and SVM,"Abhipsa Mahala et al.",81
20,Real time face mask detection in nuclear power plants,"Satya Ranjan Panda et al.",87

Station_Code,Sampling_Location,Latitude_Longitude,Distance_km,Direction,Location_Type
L1,Dumping Site,"20°23'32.62""N 85°47'20.08""E",-,-,-
L2,Sundarpur,"20°21'49.91""N 85°47'39.49""E",3.22,S,"Urban type settlement"
L3,Daruthenga,"20°22'50.19""N 85°47'37.38""E",1.41,SSE,"Urban type settlement"
L4,Kujimahal,"20°21'10.96""N 85°45'04.73""E",5.89,SW,"Near Khurda-Chandaka road"
L5,Darhapatana,"20°24'35.72""N 85°49'56.74""E",4.94,NNE,"Near Baranga nala"
L6,Ramdaspur,"20°27'00.93""N 85°47'00.02""E",6.44,N,"Urban type settlement"
L7,Trisulia,"20°25'56.28""N 85°49'56.04""E",6.32,NE,"Settlement & road infrastructure (urban)"
L8,Chandaka,"20°22'07.60""N 85°45'49.57""E",3.72,SW,"Urban type settlement"
L9,KIIT Campus,"20°21'24.43""N 85°49'17.66""E",5.21,SE,"Near Sikharchandi Road"
L10,Bharatpur,"20°18'29.06""N 85°46'41.89""E",9.42,S,"Near Khandagiri-Chandaka road"

Cluster,Season,PM_Range_ug_per_Nm3,PM_Mean_SD,SO2_Range_ug_per_m3,SO2_Mean_SD,NO2_Range_ug_per_m3,NO2_Mean_SD
Kuarmunda,Rainy,"82-115","99.0±14.64","58-72","64.8±5.40","84-91","87.6±2.70"
Kuarmunda,Winter,"117-162","138.4±21.31","79-94","86.2±6.38","99-112","105.8±5.54"
Kuarmunda,Summer,"100-139","117.4±17.50","65-83","74.4±6.91","91-102","96.0±4.0"
Kuarmunda,Average,"82-162","118.27±19.71","58-94","75.13±10.72","84-112","96.47±9.11"

Kalunga,Rainy,"90-129","107.6±15.47","62-71","67.0±3.67","83-93","89.4±4.62"
Kalunga,Winter,"122-178","148.8±21.44","78-99","92.6±8.73","101-119","111.6±7.44"
Kalunga,Summer,"105-142","125.6±14.17","71-86","79.8±5.50","90-109","99.0±8.15"
Kalunga,Average,"90-178","127.33±20.65","62-99","79.80±12.80","83-119","100.00±11.13"

Rajgangpur,Rainy,"83-193","122.6±52.45","62-71","65.8±3.35","80-94","86.8±5.89"
Rajgangpur,Winter,"119-265","169.6±62.78","88-97","92.8±3.42","93-116","105.4±9.07"
Rajgangpur,Summer,"98-223","144.0±56.95","76-83","79.6±3.05","83-106","97.4±10.11"
Rajgangpur,Average,"83-265","145.40±23.53","62-97","79.40±13.50","80-116","96.53±9.33"

Bonaigarh,Rainy,"71-98","85.2±9.73","62-72","66.8±3.56","80-99","92.2±7.60"
Bonaigarh,Winter,"114-142","126.8±12.07","79-98","88.2±6.98","103-124","111.6±8.17"
Bonaigarh,Summer,"100-121","106.2±8.47","69-90","77.6±8.62","95-111","102.2±5.72"
Bonaigarh,Average,"71-142","106.07±20.80","62-98","77.53±10.70","80-124","102.00±9.70"

Date,AOD,PM2.5 (µg/m3),PM10 (µg/m3),CO_Surface (mg/m3),CO_Satellite (mol/m2),O3_Surface (µg/m3),O3_Satellite (mol/m2)
03 Mar,0.38,140,105,14,0.04,34,0.12
04 Mar,0.51,172,120,16,0.05,36,0.12
05 Mar,0.66,174,110,21,0.06,31,0.13
06 Mar,0.62,171,107,20,0.05,31,0.12
07 Mar,0.71,193,105,16,0.06,27,0.13
08 Mar,1.06,176,101,14,0.07,30,0.14
09 Mar,1.12,120,65,15,0.06,23,0.12

Sector,PM2.5_Gg_per_year,PM10_Gg_per_year,CO_Gg_per_year,NOx_Gg_per_year,VOC_Gg_per_year,SO2_Gg_per_year,BC_Gg_per_year,OC_Gg_per_year
Windblown_Road_Dust,0.561,5.149,NA,NA,NA,NA,NA,NA
Transport,4.655,4.750,98.473,36.284,72.579,6.896,3.874,NA
Industry,0.551,0.876,0.300,2.248,NA,2.867,0.135,NA
Household,0.393,0.550,3.027,0.367,0.025,0.069,0.031,0.239
Slum,0.304,0.404,2.381,0.273,0.017,0.059,0.024,0.183
Street_Vendor,0.344,0.995,4.464,0.567,0.025,0.335,0.065,0.363
Diesel_Generator,0.915,1.144,0.516,2.390,NA,0.159,0.468,NA
Aviation,NA,NA,1.192,2.198,0.193,0.176,NA,NA
Construction,0.950,2.367,NA,NA,NA,NA,NA,NA
Incense_Mosquito_Cigarettes,0.187,0.227,0.853,0.040,0.003,0.026,0.011,0.020
Crematory,0.040,0.050,0.380,0.046,0.002,0.001,0.004,0.026
Total,8.897,16.513,111.586,44.414,72.845,10.588,4.613,0.831

Day,Beleipada,Brajaraj_Nagar,Keonjhar,Rairangpur,Rourkela,Talcher,Tensa
01-Jun-23,10.02,59.82,6.66,19.99,15.35,30.91,26.54
02-Jun-23,12.36,68.97,6.62,18.27,17.07,30.90,24.88
03-Jun-23,9.37,20.80,5.65,19.20,11.01,30.91,26.08
04-Jun-23,8.65,29.54,4.33,17.31,13.63,30.90,28.03
05-Jun-23,10.61,21.02,6.02,16.62,12.52,30.95,28.52
06-Jun-23,10.95,30.92,7.56,21.35,16.47,31.39,26.28
07-Jun-23,10.30,31.74,6.44,18.87,15.62,31.43,41.97
08-Jun-23,11.08,14.24,6.42,24.02,17.66,31.47,42.73
09-Jun-23,13.07,26.28,7.05,17.13,17.58,31.46,46.48
10-Jun-23,9.29,29.21,4.31,15.12,14.35,31.45,29.01
11-Jun-23,8.80,18.26,4.71,15.34,14.16,31.44,23.18
12-Jun-23,10.85,18.18,6.15,15.30,14.40,31.27,30.10
13-Jun-23,6.03,21.67,2.79,9.03,13.39,31.26,28.72
14-Jun-23,9.19,27.58,3.80,38.04,15.52,31.28,22.85
15-Jun-23,6.57,14.64,3.77,23.65,15.85,31.27,25.98
16-Jun-23,8.60,17.87,3.86,28.88,15.35,31.24,32.49
17-Jun-23,8.42,15.88,4.17,19.15,14.98,31.26,35.50
18-Jun-23,6.64,20.24,4.17,17.86,11.54,31.28,25.92
19-Jun-23,6.25,14.33,4.76,26.59,12.40,31.32,24.21
20-Jun-23,7.09,9.89,3.85,23.38,12.14,31.31,24.69
21-Jun-23,5.91,18.65,4.13,20.33,13.74,31.27,23.10
22-Jun-23,6.23,14.86,4.25,21.92,10.74,31.34,25.95
23-Jun-23,6.10,18.87,4.44,19.88,12.87,31.43,27.47
24-Jun-23,6.99,16.76,4.50,19.33,11.15,31.49,23.12
25-Jun-23,6.89,14.94,4.30,17.45,10.09,31.48,20.89
26-Jun-23,4.95,13.98,4.04,15.91,8.33,31.46,6.08
27-Jun-23,4.47,2.57,3.54,15.45,7.71,31.51,7.08
28-Jun-23,4.71,4.26,3.95,17.05,8.91,31.48,15.99
29-Jun-23,5.23,9.87,3.94,18.40,9.21,31.48,18.70
30-Jun-23,5.62,17.76,6.15,18.33,11.91,31.46,24.41

Species,Site,Month,RWC_percent,pH,TCH_mg_per_g,AA_mg_per_g,APTI
PL,A,October,62.318,5.69,4.35,2.45,8.69
PL,B,October,63.010,5.99,3.91,3.50,9.77
PL,C,October,56.756,5.51,2.36,2.10,7.33
PL,A,November,45.098,5.90,2.58,1.75,6.00
PL,B,November,63.010,6.10,2.83,2.25,7.28
PL,C,November,40.298,5.70,1.72,1.65,5.26

FR,A,October,77.972,6.20,2.30,1.95,9.45
FR,B,October,46.236,8.35,1.69,3.25,7.89
FR,C,October,73.684,7.44,2.20,2.85,10.12
FR,A,November,47.230,6.70,1.29,1.70,6.08
FR,B,November,46.236,7.81,1.20,2.00,5.81
FR,C,November,53.929,6.09,1.37,1.90,6.81

TG,A,October,66.806,7.12,3.09,2.50,9.23
TG,B,October,67.847,6.57,1.32,4.35,10.22
TG,C,October,72.569,6.39,2.03,3.65,10.33
TG,A,November,57.510,6.97,1.56,1.80,7.29
TG,B,November,67.847,6.20,1.14,2.15,7.65
TG,C,November,60.239,5.87,1.54,1.50,7.13

Species,Site,Month,Leaf_Area_cm2,W1_g,W2_g,Dust_Collection_mg_per_cm2
PL,A,October,53.67,0.782,0.757,0.47
PL,B,October,45.25,0.824,0.812,0.27
PL,C,October,56.39,0.880,0.840,0.71
PL,A,November,88.30,1.560,1.500,0.68
PL,B,November,79.93,1.180,1.150,0.38
PL,C,November,81.26,1.260,1.170,1.11

FR,A,October,152.02,3.470,3.396,0.49
FR,B,October,119.40,2.550,2.501,0.41
FR,C,October,131.25,3.257,3.166,0.69
FR,A,November,94.78,2.480,2.399,0.85
FR,B,November,132.61,3.300,3.233,0.51
FR,C,November,184.44,5.320,5.142,0.97

TG,A,October,292.28,4.198,3.508,2.36
TG,B,October,282.29,4.660,3.137,1.85
TG,C,October,424.26,6.534,3.325,2.85
TG,A,November,426.51,5.100,3.759,3.14
TG,B,November,434.83,6.580,5.686,2.06
TG,C,November,497.55,6.520,5.277,2.50

Species,Arrangement,Margin,Orientation,Pubescence,Prominent_Veins,Leaf_Internode,Petiole,Leaf_Lamina,Total_Grade
PL,+,-,+,-,+,+,+,-,5
FR,+,-,-,-,+,-,-,+,3
TG,+,-,+,+,+,-,-,++,6


Study,Location,Type_of_Study,Reference_Period,PM2.5_Change,PM10_Change,NO2_Change,CO_Change,SO2_Change,O3_Change
Abdullah et al. (2020),Malaysia (16 states),Monitoring station data,Before movement control order,-42.6 to -76.5,,,
Aman et al. (2020),India,Remote sensing data,Same period 2015–2019,,-16.8 to -36.5,,,
